feature,median,mean,variance
Access to electricity (% of population) [EG.ELC.ACCS.ZS],98.44096679500001,81.93769988546875,682.904631202832
Adjusted net national income per capita (current US$) [NY.ADJ.NNTY.PC.CD],3963.9756155,9686.503791720314,173816758.90503109
Age dependency ratio (% of working-age population) [SP.POP.DPND],54.2943717,59.801940512968756,289.1491192407592
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total) [SH.DTH.COMM.ZS]",13.5,23.247656250000002,425.15671325683587
Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],296.9389038,965.1374855433594,2530269.736023301
"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]",2.354,2.8095726562500003,1.7528059024554443
Fixed broadband subscriptions (per 100 people) [IT.NET.BBND.P2],6.1914812675,11.529800126929688,166.1596505592659
Fixed telephone subscriptions (per 100 people) [IT.MLT.MAIN.P2],10.764394635,15.418201723664062,246.2894455693306
GDP per capita (constant 2010 US$) [NY.GDP.PCAP.KD],5669.733946,13247.662563989843,338532584.636333
"GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]",5375.0,12383.59375,267784690.60058594
Individuals using the Internet (% of population) [IT.NET.USER.ZS],48.05227375,48.52361732975781,830.7026489061669
Lifetime risk of maternal death (%) [SH.MMR.RISK.ZS],0.16275836999999999,0.795386030375,1.8120746157038303
People using at least basic drinking water services (% of population) [SH.H2O.BASW.ZS],93.734351425,86.16666230906249,276.08501682515146
"People using at least basic drinking water services, rural (% of rural population) [SH.H2O.BASW.RU.ZS]",87.79493794,79.0243945296875,462.9638291817218
"People using at least basic drinking water services, urban (% of urban population) [SH.H2O.BASW.UR.ZS]",97.412091015,93.80211620734374,65.3992557017319
"People using at least basic sanitation services, urban (% of urban population) [SH.STA.BASS.UR.ZS]",89.36827271,78.404510194375,550.1151367114251
Prevalence of anemia among children (% of children under 5) [SH.ANM.CHLD.ZS],31.9,37.425,353.83812500000005
Secure Internet servers (per 1 million people) [IT.NET.SECR.P6],119.6594181,2295.6827412722346,31482205.54541218
"Self-employed, female (% of female employment) (modeled ILO estimate) [SL.EMP.SELF.FE.ZS]",40.4109993,44.746289066203126,978.910908035075
"Wage and salaried workers, female (% of female employment) (modeled ILO estimate) [SL.EMP.WORK.FE.ZS]",59.5890007,55.25371079109375,978.9108981526726
